CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code,Percentage of People in Poverty,Percentage of Unemployed People,Percentage of People with Health Insurance Coverage,Percentage of People With Educational Attainment (HS+),Percentage of People With Internet Access
"Bridgeport-Stamford-Norwalk, CT",14860,2024,182,132,39,8,3,0,0,154,71,42,0,11,107,64,0,"Bridgeport-Stamford-Danbury, CT Metro Area",111656,0.5442,947528,14860,14860,0.09231178392617422,0.03341853749968339,0.9932149762328923,0.12319952550214874,0.37003022601970603
"Brookings, SD",15100,2024,182,168,14,0,0,0,0,94,46,32,0,0,139,30,13,"Brookings, SD Micro Area",67341,0.4122,34968,15100,15100,0.11662091054678564,0.02041866849691146,0.9932795698924731,0.11313200640585679,0.3857812857469687
"Brownsville-Harlingen, TX",15180,2024,182,32,94,44,12,0,0,171,138,72,0,0,26,156,0,"Brownsville-Harlingen, TX Metro Area",51334,0.469,423192,15180,15180,0.2424029754815781,0.024773625210306432,0.9950235354165485,0.12763237490311727,0.32003204219361425
"Brunswick, GA",15260,2024,274,225,49,0,0,0,0,84,55,38,0,0,98,176,0,"Brunswick-St. Simons, GA Metro Area",64819,0.4982,114345,15260,15260,0.1678866587957497,0.018619091346364074,0.9895229349774805,0.17810135991954174,0.404363986182168
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,2024,304,206,97,1,0,0,0,105,61,43,0,5,147,151,1,"Buffalo-Cheektowaga, NY Metro Area",70572,0.4615,1161385,15380,15380,0.1352032271813395,0.025811423429784267,0.9918864114828416,0.15960168247394274,0.4306961085255966
"Burlington-South Burlington, VT",15540,2024,183,163,20,0,0,0,0,84,52,39,1,0,144,38,0,"Burlington-South Burlington, VT Metro Area",90911,0.4418,226603,15540,15540,0.09795545513519238,0.020163016376658738,0.9916903130143908,0.13619854988680644,0.41096543293778104
"Butte-Silver Bow, MT",15580,2024,182,150,32,0,0,0,0,95,56,26,0,0,0,167,15,"Butte-Silver Bow, MT Micro Area",57504,0.4847,35589,15580,15580,0.15690241366714433,0.020371463092528592,0.9796004383376886,0.17395824552530276,0.43122875045660175
"Cadillac, MI",15620,2024,274,242,32,0,0,0,0,84,52,38,0,0,241,33,0,"Cadillac, MI Micro Area",62833,0.4354,49024,15620,15620,0.1207367819843342,0.027721116187989555,0.9900864882506527,0.22170773498694518,0.39119614882506526
"Cambridge, MD",15700,2024,274,219,55,0,0,0,0,84,56,40,0,0,200,74,0,"Cambridge, MD Micro Area",60495,0.4656,32612,15700,15700,0.1602170980007359,0.022875015331779713,0.9899116889488532,0.25738991782166076,0.40856126579173313
"Canton-Massillon, OH",15940,2024,275,144,131,0,0,0,0,93,67,49,0,0,111,164,0,"Canton-Massillon, OH Metro Area",65666,0.4404,400495,15940,15940,0.12441353824642006,0.01926366121924119,0.9885566611318494,0.2401777799972534,0.41658947053021883
"Cape Coral-Fort Myers, FL",15980,2024,182,161,21,0,0,0,0,80,54,38,0,0,182,0,0,"Cape Coral-Fort Myers, FL Metro Area",73099,0.4761,792692,15980,15980,0.11547864744440464,0.01876264677831995,0.9932003855217411,0.19770730624252547,0.4031679391238968
"Carlsbad-Artesia, NM",16100,2024,244,108,106,27,3,0,0,172,101,54,0,0,242,2,0,"Carlsbad-Artesia, NM Micro Area",79605,0.4434,61114,16100,16100,0.12303236574271034,0.020486304283797493,0.989609582092483,0.1420787380960173,0.3803547468665118
"Carson City, NV",16180,2024,182,146,35,1,0,0,0,105,58,44,0,0,160,22,0,"Carson City, NV Metro Area",71809,0.4464,58364,16180,16180,0.10593859228291412,0.020149407168802688,0.9558460694948941,0.15900212459735452,0.40524981152765405
"Casper, WY",16220,2024,182,157,25,0,0,0,0,80,54,43,0,0,179,3,0,"Casper, WY Metro Area",71247,0.4456,79735,16220,16220,0.09556656424405845,0.019665140778829873,0.9883865303818901,0.15264313036934846,0.41744528751489307
"Ca?on City, CO",15860,2024,274,273,1,0,0,0,0,51,26,13,0,0,0,0,274,"Cañon City, CO Micro Area",61027,0.4645,49394,15860,15860,0.11742316880592785,0.016257035267441388,0.8398590921974329,0.21269789853018586,0.35824189172774024
"Cedar City, UT",16260,2024,273,216,57,0,0,0,0,100,58,44,0,4,247,22,0,"Cedar City, UT Micro Area",65527,0.429,60201,16260,16260,0.1345326489593196,0.016727296888756002,0.9940864769688211,0.11930034384810884,0.3265394262553778
"Cedar Rapids, IA",16300,2024,305,196,109,0,0,0,0,79,61,45,0,0,129,176,0,"Cedar Rapids, IA Metro Area",77084,0.4381,275960,16300,16300,0.09466226989418756,0.01891940860994347,0.9876358892593129,0.16456008117118423,0.41046166111030585
"Centralia, WA",16500,2024,205,202,3,0,0,0,0,60,35,20,0,0,0,205,0,"Centralia, WA Micro Area",69690,0.4233,83925,16500,16500,0.1281620494489127,0.026440274054215073,0.9915638963360143,0.18342567768841228,0.38503425677688413
"Chambersburg-Waynesboro, PA",16540,2024,175,171,4,0,0,0,0,61,44,34,0,0,175,0,0,"Chambersburg, PA Metro Area",74946,0.4178,156626,16540,16540,0.07658370896275203,0.017762057385108474,0.9925299758660758,0.27128956878168375,0.4024108385580938
"Champaign-Urbana, IL",16580,2024,274,181,93,0,0,0,0,100,60,45,0,0,156,118,0,"Champaign-Urbana, IL Metro Area",64558,0.4939,236196,16580,16580,0.1571914850378499,0.022637978627919185,0.9912572609188979,0.1235711019661637,0.4079493302172772
"Charleston, WV",16620,2024,183,153,30,0,0,0,0,67,55,37,4,0,94,85,0,"Charleston, WV Metro Area",58089,0.4757,207456,16620,16620,0.16297431744562701,0.026323654172451024,0.9883637976245565,0.23055973314823383,0.4225474317445627
"Charleston-North Charleston, SC",16700,2024,274,190,84,0,0,0,0,90,58,44,0,0,130,144,0,"Charleston-North Charleston, SC Metro Area",82272,0.4788,817756,16700,16700,0.10985672988030659,0.019669681420863925,0.9771068631718997,0.13307392425124365,0.4003883799079432
"Charlotte-Concord-Gastonia, NC-SC",16740,2024,275,117,153,4,1,0,0,156,77,53,1,0,125,149,0,"Charlotte-Concord-Gastonia, NC-SC Metro Area",80201,0.4761,2712818,16740,16740,0.10321149446811397,0.023910560900141476,0.9921649738390117,0.1292744297627043,0.3869795172400065
"Charlottesville, VA",16820,2024,272,207,65,0,0,0,0,85,55,43,0,0,126,146,0,"Charlottesville, VA Metro Area",90552,0.4833,222937,16820,16820,0.10501172977119097,0.018902201070257516,0.9849195064076398,0.10957804222717629,0.400992208561163
"Chattanooga, TN-GA",16860,2024,274,123,148,3,0,0,0,126,70,52,0,0,85,189,0,"Chattanooga, TN-GA Metro Area",68666,0.4756,569333,16860,16860,0.12373602092272888,0.02219087950285685,0.989247066303903,0.15472667138563898,0.3995271659995117
"Cheyenne, WY",16940,2024,183,145,38,0,0,0,0,80,58,45,1,0,161,20,1,"Cheyenne, WY Metro Area",77884,0.4364,100661,16940,16940,0.09690942867644868,0.016630075202908774,0.9641271197385284,0.13072590178917357,0.42223900020862104
"Chicago-Naperville-Elgin, IL-IN-WI",16980,2024,275,71,190,12,2,0,0,166,90,58,1,13,106,140,15,"Chicago-Naperville-Elgin, IL-IN Metro Area",88850,0.4811,9359555,16980,16980,0.10910379820408128,0.03247504822611759,0.9905310669150403,0.13809652275134876,0.38630340865564655
"Chico, CA",17020,2024,193,145,48,0,0,0,0,93,61,42,1,0,145,46,1,"Chico, CA Metro Area",68574,0.4846,209470,17020,17020,0.1791712417052561,0.03433427221081778,0.9900463073471142,0.12104836014703776,0.39311118537260703
"Cincinnati, OH-KY-IN",17140,2024,275,93,168,14,0,0,0,147,80,54,1,4,106,163,1,"Cincinnati, OH-KY-IN Metro Area",79490,0.4683,2255257,17140,17140,0.11386108102092134,0.022400107836933882,0.9884594083955842,0.16765406337282182,0.3987452427816431
"Clarksburg, WV",17220,2024,56,45,11,0,0,0,0,59,56,35,0,0,0,56,0,"Clarksburg, WV Micro Area",58376,0.454,89717,17220,17220,0.13419976147218476,0.02369673528985588,0.9745310253352207,0.23522855200240758,0.39086237836753346
"Clarksville, TN-KY",17300,2024,182,142,40,0,0,0,0,80,55,42,0,0,74,108,0,"Clarksville, TN-KY Metro Area",66210,0.4167,328626,17300,17300,0.12797222374370865,0.024444201006615422,0.9304650271128883,0.15430915387096578,0.36875353745595296
"Clearlake, CA",17340,2024,31,31,0,0,0,0,0,36,26,15,0,0,0,31,0,"Clearlake, CA Micro Area",58738,0.4867,68139,17340,17340,0.16372415210085267,0.04725634365047917,0.990871600698572,0.17009348537548247,0.38691498260907853
"Cleveland, MS",17380,2024,274,181,93,0,0,0,0,98,58,45,0,0,89,185,0,"Cleveland, MS Micro Area",37315,0.5554,30163,17380,17380,0.31177270165434473,0.029108510426681698,0.9712561747836753,0.1258163975731857,0.3947551636110466
