CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code,Percentage of People in Poverty,Percentage of Unemployed People,Percentage of People with Health Insurance Coverage,Percentage of People With Educational Attainment (HS+),Percentage of People With Internet Access
"New Orleans-Metairie, LA",35380,2024,306,153,147,5,1,0,0,188,71,51,1,3,141,160,1,"New Orleans-Metairie, LA Metro Area",62271,0.5087,988763,35380,35380,0.17935238272467718,0.033961626800355596,0.9889194882899137,0.154730708976772,0.40154111753777194
"New York-Newark-Jersey City, NY-NJ-PA",35620,2024,275,120,135,17,3,0,0,156,93,53,1,9,149,116,0,"New York-Newark-Jersey City, NY-NJ Metro Area",97334,0.5137,19756722,35620,35620,0.12230136153153343,0.03447034381513289,0.9929745430441346,0.14183911683324796,0.3726579743340014
"Niles-Benton Harbor, MI",35660,2024,204,167,36,1,0,0,0,101,61,42,0,0,204,0,0,"Niles, MI Metro Area",63152,0.4762,153411,35660,35660,0.1487377045974539,0.03159486607870361,0.9924060204287828,0.16635704089015782,0.41490505895926627
"Nogales, AZ",35700,2024,270,203,64,2,0,0,1,494,63,38,0,0,0,216,54,"Nogales, AZ Micro Area",53614,0.443,48209,35700,35700,0.20135244456429297,0.04584206268539069,0.9964529444709495,0.1345806799560248,0.34881453670476464
"North Port-Sarasota-Bradenton, FL",35840,2024,274,170,103,1,0,0,0,115,63,46,0,0,104,170,0,"North Port-Bradenton-Sarasota, FL Metro Area",78278,0.4908,865031,35840,35840,0.09114355439284835,0.019273297719966106,0.9883934795400396,0.18107327945472473,0.4323625396084071
"Norwich-New London, CT",35980,2024,182,158,21,3,0,0,0,122,53,38,0,0,108,74,0,"Norwich-New London-Willimantic, CT Metro Area",84185,0.4425,279025,35980,35980,0.10148552997043275,0.025954663560612847,0.963988889884419,0.17538930203386793,0.41063345578353194
"Ocala, FL",36100,2024,182,75,106,1,0,0,0,101,61,52,0,0,45,137,0,"Ocala, FL Metro Area",58535,0.4484,387697,36100,36100,0.14233795979850244,0.021044784973832657,0.9795484618142518,0.2169813024088399,0.4121672336902272
"Odessa, TX",36220,2024,180,137,43,0,0,0,0,88,58,34,0,0,0,180,0,"Odessa, TX Metro Area",71031,0.4522,163206,36220,36220,0.1508890604512089,0.02738257171917699,0.9916547185765229,0.142586669607735,0.38247368356555517
"Ogden-Clearfield, UT",36260,2024,278,133,126,19,0,0,0,133,93,51,1,4,232,35,6,"Ogden, UT Metro Area",98361,0.3975,645510,36260,36260,0.06457219872658827,0.013970349026351258,0.9874920605412775,0.130005731901907,0.3263032331025081
"Oklahoma City, OK",36420,2024,275,101,160,14,0,0,0,136,84,54,1,2,144,127,1,"Oklahoma City, OK Metro Area",70499,0.4648,1445122,36420,36420,0.13551451019360303,0.023592471777469308,0.9832851482435393,0.14250630742594741,0.3895394298889644
"Olympia-Tumwater, WA",36500,2024,211,203,8,0,0,0,0,85,42,26,0,0,89,122,0,"Olympia-Lacey-Tumwater, WA Metro Area",93985,0.4056,296640,36500,36500,0.09537486515641855,0.02529665587918015,0.9733919902912621,0.12397518878101402,0.3949973031283711
"Omaha-Council Bluffs, NE-IA",36540,2024,305,161,142,2,0,0,0,110,65,49,0,0,157,126,22,"Omaha, NE-IA Metro Area",83023,0.4567,972840,36540,36540,0.09318901360963776,0.018088277620163646,0.9856543727642778,0.12742691501171827,0.3951286953661445
"Orlando-Kissimmee-Sanford, FL",36740,2024,275,192,80,3,0,0,0,149,61,43,1,1,172,101,0,"Orlando-Kissimmee-Sanford, FL Metro Area",75611,0.4619,2721022,36740,36740,0.11522655825641984,0.027074753530107437,0.9918953246243507,0.14771692400869968,0.36204852441472357
"Othello, WA",36830,2024,213,207,6,0,0,0,0,65,33,15,0,0,0,213,0,"Othello, WA Micro Area",65042,0.4439,20690,36830,36830,0.20294828419526342,0.017109714838086033,0.9904301594973417,0.1208796520057999,0.3045432576123731
"Owensboro, KY",36980,2024,107,94,13,0,0,0,0,100,51,43,0,0,107,0,0,"Owensboro, KY Metro Area",65656,0.4671,112322,36980,36980,0.14381866419757483,0.022114990829935365,0.9851053221986787,0.1953936005413009,0.39854169263367817
"Oxnard-Thousand Oaks-Ventura, CA",37100,2024,213,120,89,4,0,0,0,122,68,48,0,0,136,76,1,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",107327,0.4492,838259,37100,37100,0.08902976287758319,0.028090363479545105,0.9905768980708827,0.11940581610218322,0.33169342649467526
"Paducah, KY-IL",37140,2024,182,140,41,1,0,0,0,101,53,43,0,6,87,89,0,"Paducah, KY-IL Metro Area",62286,0.4862,102924,37140,37140,0.15255916987291593,0.015419144222921767,0.9852026738175741,0.20742489603979636,0.40095604523726247
"Pahrump, NV",37220,2024,182,173,9,0,0,0,0,89,40,19,0,0,0,0,182,"Pahrump, NV Micro Area",55975,0.4427,53207,37220,37220,0.15187851222583496,0.03349183378126938,0.9844945213975604,0.2340857405980416,0.4124081417858552
"Palatka, FL",37260,2024,178,164,13,1,0,0,0,112,47,22,0,0,0,0,178,"Palatka, FL Micro Area",47256,0.4757,74235,37260,37260,0.2345120226308345,0.02730517949754159,0.9849531891964707,0.22054287061359198,0.41287802249612715
"Palm Bay-Melbourne-Titusville, FL",37340,2024,182,148,34,0,0,0,0,74,54,43,0,0,152,30,0,"Palm Bay-Melbourne-Titusville, FL Metro Area",75817,0.4555,620533,37340,37340,0.09766281567620094,0.022862603600453158,0.9891689885952882,0.16341757811429852,0.40592361727740506
"Panama City, FL",37460,2024,180,93,87,0,0,0,0,72,60,49,0,0,41,139,0,"Panama City-Panama City Beach, FL Metro Area",67834,0.4405,206627,37460,37460,0.12147492825235812,0.017413019595696595,0.9647432329753614,0.16926635918829583,0.41330513437256505
"Parkersburg-Vienna, WV",37620,2024,140,111,29,0,0,0,0,100,58,42,0,0,106,34,0,"Parkersburg-Vienna, WV Metro Area",56029,0.4573,88960,37620,37620,0.14768435251798562,0.024572841726618704,0.9897144784172662,0.22321267985611512,0.4246515287769784
"Payson, AZ",37740,2024,274,123,122,27,2,0,0,159,101,54,0,0,259,0,15,"Payson, AZ Micro Area",59089,0.4364,53610,37740,37740,0.17341913822048124,0.028371572467823167,0.9791270285394515,0.18606603245663123,0.4337437045327364
"Pensacola-Ferry Pass-Brent, FL",37860,2024,182,109,73,0,0,0,0,84,61,47,0,0,77,105,0,"Pensacola-Ferry Pass-Brent, FL Metro Area",73588,0.4451,516994,37860,37860,0.11614641562571326,0.024928722577051185,0.9478504586126725,0.15416426496245605,0.38596579457401825
"Peoria, IL",37900,2024,252,174,78,0,0,0,0,100,61,44,0,0,146,106,0,"Peoria, IL Metro Area",70872,0.4571,365773,37900,37900,0.11733506847142901,0.025001845406850697,0.9841923816137331,0.16847881062844988,0.4178629915275321
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,2024,305,138,159,8,0,0,0,150,77,52,0,2,149,154,0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",89273,0.4822,6241882,37980,37980,0.11406912210131495,0.03162411593170137,0.9882865456283858,0.16701517266747432,0.39185008624001544
"Phoenix-Mesa-Scottsdale, AZ",38060,2024,275,38,182,50,3,2,0,289,113,74,1,1,174,58,41,"Phoenix-Mesa-Chandler, AZ Metro Area",84703,0.4549,4941206,38060,38060,0.11020406758997703,0.023916428499439205,0.9879907860550643,0.12910087132574516,0.3753203165381083
"Pierre, SD",38180,2024,182,178,4,0,0,0,0,69,20,1,0,0,0,182,0,"Pierre, SD Micro Area",78965,0.4031,20744,38180,38180,0.07737177015040493,0.0028441959120709603,0.956421133821828,0.15667180871577324,0.413999228692634
"Pittsburgh, PA",38300,2024,183,88,94,1,0,0,0,103,77,52,1,0,85,97,0,"Pittsburgh, PA Metro Area",73942,0.4708,2443921,38300,38300,0.10604843609920288,0.026031119663851656,0.9897922232347117,0.2040229614623386,0.4336273553850554
"Pittsfield, MA",38340,2024,244,194,50,0,0,0,0,97,58,40,0,0,174,70,0,"Pittsfield, MA Metro Area",72565,0.4949,128047,38340,38340,0.10528165439252775,0.029520410474278974,0.9860910446945262,0.18818871195732817,0.4413769943848743
"Platteville, WI",38420,2024,182,145,37,0,0,0,0,80,54,31,0,0,0,182,0,"Platteville, WI Micro Area",64349,0.429,51678,38420,38420,0.12517899299508495,0.014242037230542978,0.9799140833623592,0.19793722667285885,0.38532837958125316
"Pocatello, ID",38540,2024,182,169,13,0,0,0,0,67,47,35,0,0,84,54,44,"Pocatello, ID Metro Area",64080,0.4405,88457,38540,38540,0.1175486394519371,0.022214183162440507,0.9874854449054343,0.13579479295024702,0.3769062934533163
"Ponca City, OK",38620,2024,264,156,103,4,1,0,0,193,62,44,0,0,0,264,0,"Ponca City, OK Micro Area",56673,0.4537,43731,38620,38620,0.1512885596030276,0.0274862225880954,0.9785735519425579,0.18885916169307815,0.3822460039788708
"Ponce, PR",38660,2024,175,165,10,0,0,0,0,82,37,3,120,0,0,49,6,"Ponce, PR Metro Area",20646,0.54,273739,38660,38660,0.47308202338724115,0.04979926134018171,0.9849930042851037,0.2025798296917867,0.3751639335279226
"Port Angeles, WA",38820,2024,213,198,15,0,0,0,0,59,45,36,0,0,141,72,0,"Port Angeles, WA Micro Area",67999,0.4517,77593,38820,38820,0.10600183006199013,0.024177438686479452,0.9831170337530447,0.15565837124482879,0.4430425424973902
"Port St. Lucie, FL",38940,2024,182,157,25,0,0,0,0,71,53,42,0,0,141,41,0,"Port St. Lucie, FL Metro Area",72506,0.4715,506701,38940,38940,0.11386399474246153,0.024864762453596895,0.9883402637847567,0.17678473103467332,0.39364437804543506
"Portland-South Portland, ME",38860,2024,305,233,71,1,0,0,0,129,59,40,0,0,203,98,4,"Portland-South Portland, ME Metro Area",88602,0.4489,557764,38860,38860,0.07435044212247474,0.018939910069491757,0.9890831964773632,0.15480382383947333,0.42388537087370287
"Portland-Vancouver-Hillsboro, OR-WA",38900,2024,274,235,38,1,0,0,0,105,54,36,0,2,151,121,0,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",94573,0.4496,2510529,38900,38900,0.0942355176936813,0.0270930947222677,0.9931321247434306,0.11503471977419899,0.39848892404748165
"Portsmouth, OH",39020,2024,274,182,92,0,0,0,0,80,61,41,0,0,0,268,6,"Portsmouth, OH Micro Area",49571,0.4632,73118,39020,39020,0.21359993435269017,0.026464071774392077,0.9644547170327415,0.26137202877540416,0.39165458573812195
"Price, UT",39220,2024,274,189,84,1,0,0,0,112,64,46,0,0,267,7,0,"Price, UT Micro Area",53673,0.4393,20446,39220,39220,0.16516678078841826,0.024112295803580163,0.9904137728651081,0.15910202484593564,0.39239949134304997
"Providence-Warwick, RI-MA",39300,2024,250,188,59,3,0,0,0,147,61,42,1,2,173,69,5,"Providence-Warwick, RI-MA Metro Area",85646,0.4598,1673807,39300,39300,0.10797899638369299,0.030415095647228146,0.986819268888229,0.16605558466418172,0.3997497919413648
"Provo-Orem, UT",39340,2024,275,151,115,8,1,0,0,151,84,48,1,1,221,52,0,"Provo-Orem-Lehi, UT Metro Area",96745,0.4138,695895,39340,39340,0.08517376903124753,0.017991219939789766,0.9953355032009139,0.07398242550959555,0.28647712657800384
"Pueblo, CO",39380,2024,274,173,93,8,0,0,0,143,77,47,0,0,220,48,6,"Pueblo, CO Metro Area",62250,0.4558,168726,39380,39380,0.15007171390301435,0.024110095658049144,0.9759136114173275,0.16976636677216314,0.401929755935659
"Pullman, WA",39420,2024,213,196,17,0,0,0,0,80,43,16,0,0,0,213,0,"Pullman, WA Micro Area",52893,0.5164,47042,39420,39420,0.20711279282343437,0.03473491773308958,0.9917307937587687,0.06564346753964542,0.38161642787296457
"Quincy, IL-MO",39500,2024,204,189,15,0,0,0,0,97,49,43,0,0,204,0,0,"Quincy, IL-MO Micro Area",63470,0.4427,75111,39500,39500,0.12232562474204843,0.019784052934989547,0.9827721638641477,0.22131245756280704,0.4125361132191024
"Racine, WI",39540,2024,98,78,19,1,0,0,0,140,64,44,0,0,98,0,0,"Racine-Mount Pleasant, WI Metro Area",75331,0.4294,196888,39540,39540,0.10531875990410793,0.02164174556092804,0.9783938076469871,0.17480496525943684,0.40179696070862625
"Raleigh, NC",39580,2024,274,190,83,1,0,0,0,112,63,44,0,0,184,90,0,"Raleigh-Cary, NC Metro Area",96066,0.4491,1449594,39580,39580,0.08398834432261723,0.022796727911401398,0.9925213542550535,0.09910292123173799,0.38312175685053884
"Rapid City, SD",39660,2024,182,116,65,1,0,0,0,111,67,47,0,0,139,13,30,"Rapid City, SD Metro Area",71985,0.453,151064,39660,39660,0.10510776889265477,0.016734629031403908,0.9661203198644284,0.1496451834983848,0.40732404808557965
"Reading, PA",39740,2024,182,126,54,2,0,0,0,105,62,43,0,0,119,63,0,"Reading, PA Metro Area",77684,0.4439,429989,39740,39740,0.11336801639111699,0.02731465223528974,0.9900764903288224,0.2219266074248411,0.37605845730937304
"Red Bluff, CA",39780,2024,182,151,30,1,0,0,0,105,64,38,0,0,156,26,0,"Red Bluff, CA Micro Area",61834,0.5054,65520,39780,39780,0.15244200244200246,0.02806776556776557,0.9929945054945055,0.17664835164835166,0.37432844932844933
"Red Wing, MN",39860,2024,121,108,13,0,0,0,0,67,51,40,0,0,121,0,0,"Red Wing, MN Micro Area",82749,0.4287,47844,39860,39860,0.090795084023075,0.018769333667753532,0.9823175319789316,0.20295125825599866,0.41031268288604633
"Redding, CA",39820,2024,211,178,32,1,0,0,0,108,54,43,0,0,184,18,9,"Redding, CA Metro Area",71931,0.4641,181554,39820,39820,0.12767000451656257,0.02817343600251165,0.9909503508597993,0.15812375381429217,0.39367350760655234
"Reno, NV",39900,2024,244,128,113,3,0,0,0,108,77,50,1,2,211,30,0,"Reno, NV Metro Area",84684,0.462,556539,39900,39900,0.10550024346901116,0.02688400992562965,0.9935027015177732,0.1427644783204771,0.3971365888104877
"Richmond, VA",40060,2024,275,191,83,1,0,0,0,112,57,44,1,9,138,127,0,"Richmond, VA Metro Area",84405,0.4611,1327321,40060,40060,0.09693585801776661,0.024776975577121132,0.9812095190236574,0.14143828056664515,0.39461290825655587
"Riverside-San Bernardino-Ontario, CA",40140,2024,245,27,109,43,45,21,0,227,192,97,1,1,155,63,25,"Riverside-San Bernardino-Ontario, CA Metro Area",86031,0.4412,4637725,40140,40140,0.12035664037863392,0.03250731770426233,0.9867273285932219,0.15639866529386715,0.30839215348042415
"Riverton, WY",40180,2024,213,133,80,0,0,0,0,100,67,48,0,0,145,68,0,"Riverton, WY Micro Area",64646,0.4204,39472,40180,40180,0.12074381840291852,0.038052290231049855,0.9852553708958249,0.16611775435751924,0.37520267531414675
"Roanoke Rapids, NC",40260,2024,213,177,36,0,0,0,0,82,53,27,0,36,0,177,0,"Roanoke Rapids, NC Micro Area",45823,0.4923,65431,40260,40260,0.23134294141920497,0.033516223196955575,0.973391817334291,0.2214393788876832,0.42588375540645873
"Roanoke, VA",40220,2024,275,217,58,0,0,0,0,68,54,41,1,4,142,128,0,"Roanoke, VA Metro Area",67447,0.4684,314661,40220,40220,0.11850213404266814,0.01806070660170787,0.9839986525181068,0.19181277628940352,0.41359113458611013
"Rochester, MN",40340,2024,182,149,32,0,1,0,0,155,56,41,0,0,104,78,0,"Rochester, MN Metro Area",89675,0.4501,227252,40340,40340,0.07698942143523489,0.01834087268758911,0.9882905320965272,0.13981835143365076,0.40660588245648005
"Rochester, NY",40380,2024,275,192,83,0,0,0,0,90,58,41,1,1,126,147,0,"Rochester, NY Metro Area",74438,0.4574,1058875,40380,40380,0.1199253925156416,0.0249160665800968,0.9896446700507614,0.1454109314130563,0.4183203872033998
"Rock Springs, WY",40540,2024,213,154,57,2,0,0,0,137,64,45,0,1,156,33,23,"Rock Springs, WY Micro Area",76464,0.4411,41786,40540,40540,0.1325084956684057,0.030010051213325038,0.9923180012444359,0.15459723352318958,0.4035562150002393
"Rockford, IL",40420,2024,274,190,81,3,0,0,0,119,61,44,0,0,146,128,0,"Rockford, IL Metro Area",66571,0.448,336605,40420,40420,0.149299624188589,0.036285854339656275,0.9899852943360913,0.16983704936052643,0.39988710803464
"Rocky Mount, NC",40580,2024,264,235,29,0,0,0,0,80,51,37,0,0,177,87,0,"Rocky Mount, NC Metro Area",57437,0.4542,144228,40580,40580,0.16385167928557562,0.03195634689519372,0.9879357683667527,0.20129933161383365,0.3997559419807527
"Rome, GA",40660,2024,271,187,84,0,0,0,0,89,60,38,0,0,0,271,0,"Rome, GA Metro Area",62540,0.4683,98985,40660,40660,0.1610648077991615,0.019982825680658685,0.9796029701469919,0.16329746931353234,0.3706420164671415
"Roswell, NM",40740,2024,20,16,4,0,0,0,0,62,58,23,0,0,0,20,0,"Roswell, NM Micro Area",52029,0.4839,64446,40740,40740,0.21355863823976662,0.024454582130776153,0.979983241783819,0.13263817769915898,0.3662756416224436
"Ruidoso, NM",40760,2024,20,20,0,0,0,0,0,26,18,7,0,0,0,20,0,"Ruidoso, NM Micro Area",51643,0.4912,20227,40760,40760,0.15845157462797252,0.026153161615662234,0.9924358530676818,0.1884115291442132,0.4635388342314728
"Rutland, VT",40860,2024,183,154,29,0,0,0,0,77,55,38,1,0,106,76,0,"Rutland, VT Micro Area",64778,0.4642,60484,40860,40860,0.11685735070431849,0.020418623106937372,0.9903610872296805,0.21952913167118576,0.42073936908934595
"Sacramento--Roseville--Arden-Arcade, CA",40900,2024,274,134,123,17,0,0,0,140,90,51,0,0,187,87,0,"Sacramento-Roseville-Folsom, CA Metro Area",93986,0.4551,2406563,40900,40900,0.11419189940176093,0.0294972539675878,0.9919366332815721,0.12227521157767322,0.3640062612115286
"Salem, OH",41400,2024,48,48,0,0,0,0,0,34,19,12,0,0,0,0,48,"Salem, OH Micro Area",58474,0.4486,101203,41400,41400,0.1338596681916544,0.022953865004001858,0.9692103989012183,0.29377587620920326,0.40883175399938737
"Salem, OR",41420,2024,274,245,29,0,0,0,0,79,51,28,0,0,60,214,0,"Salem, OR Metro Area",76010,0.4371,435085,41420,41420,0.12592711768964684,0.025100842364135744,0.9835963087672523,0.12723720652286336,0.3631175517427629
"Salinas, CA",41500,2024,183,150,33,0,0,0,0,68,54,39,1,0,115,65,2,"Salinas, CA Metro Area",94486,0.4627,435834,41500,41500,0.12099101951660494,0.02310053827833533,0.9652803590357797,0.10990422959200062,0.30297315032787714
"Salisbury, MD-DE",41540,2024,182,149,33,0,0,0,0,87,54,42,0,0,132,50,0,"Salisbury, MD Metro Area",69592,0.4542,128802,41540,41540,0.13942330088042112,0.031692054471203865,0.9644803652117203,0.1963245912330554,0.37522709274700705
"Salt Lake City, UT",41620,2024,306,149,125,28,3,1,0,230,101,51,1,6,210,86,3,"Salt Lake City-Murray, UT Metro Area",95045,0.4277,1261337,41620,41620,0.08027275819229912,0.020305437801317175,0.9938255993441879,0.12499117999392707,0.34854999100161177
"San Antonio-New Braunfels, TX",41700,2024,183,63,104,14,2,0,0,199,91,57,1,0,45,134,3,"San Antonio-New Braunfels, TX Metro Area",74297,0.4596,2612802,41700,41700,0.1320360287538053,0.025845433369998953,0.9811118485059335,0.13439288549227993,0.3632487268457388
"San Diego-Carlsbad, CA",41740,2024,254,124,111,18,1,0,0,159,93,51,0,0,203,51,0,"San Diego-Chula Vista-Carlsbad, CA Metro Area",102285,0.4594,3282782,41740,41740,0.10070787521072067,0.03191134836245599,0.9660013975950885,0.10728766028325974,0.35330460566677896
"San Francisco-Oakland-Hayward, CA",41860,2024,61,30,31,0,0,0,0,67,59,51,1,0,5,55,0,"San Francisco-Oakland-Fremont, CA Metro Area",133780,0.4936,4653593,41860,41860,0.08590931781099034,0.02979095937268257,0.9942867801288165,0.09607522617469985,0.37284180202265216
"San Jose-Sunnyvale-Santa Clara, CA",41940,2024,244,164,79,1,0,0,0,105,61,44,0,1,167,76,0,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",157444,0.4742,1969353,41940,41940,0.06783344580682082,0.02473198050324142,0.9948033694314833,0.08582869602351635,0.3425769783273999
"San Juan-Carolina-Caguas, PR",41980,2024,274,147,85,31,11,0,0,162,121,43,92,0,9,162,11,"San Juan-Bayamón-Caguas, PR Metro Area",27966,0.5465,2063795,41980,41980,0.37639009688462277,0.047281827894727915,0.9922313020430809,0.17907592566122119,0.3859927948270056
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2024,182,128,53,1,0,0,0,101,64,44,0,0,146,36,0,"San Luis Obispo-Paso Robles, CA Metro Area",93398,0.474,281486,42020,42020,0.12229382633594565,0.02488578472819252,0.9827415928323255,0.10563580426735256,0.3868647108559573
"Sandpoint, ID",41760,2024,181,173,8,0,0,0,0,73,43,22,0,0,0,161,20,"Sandpoint, ID Micro Area",65168,0.4701,49456,41760,41760,0.10577078615334844,0.01670171465545131,0.9920333225493367,0.1767025234551925,0.396291653186671
"Santa Cruz-Watsonville, CA",42100,2024,182,151,31,0,0,0,0,66,53,39,0,0,74,108,0,"Santa Cruz-Watsonville, CA Metro Area",109266,0.4826,266021,42100,42100,0.10755917765890663,0.029779603865860215,0.996154438935272,0.08782765270410983,0.36415546141094124
"Santa Fe, NM",42140,2024,180,126,54,0,0,0,0,93,74,45,0,0,177,3,0,"Santa Fe, NM Metro Area",74689,0.4858,155175,42140,42140,0.12310617045271467,0.026512002577734815,0.9907394876752054,0.1282487514096987,0.44690188496858385
"Santa Maria-Santa Barbara, CA",42200,2024,183,126,56,1,0,0,0,108,57,44,1,0,100,79,3,"Santa Maria-Santa Barbara, CA Metro Area",95977,0.4915,443975,42200,42200,0.13150965707528578,0.030549017399628356,0.9830733712483811,0.0925705276197984,0.3355143870713441
"Santa Rosa, CA",42220,2024,182,181,1,0,0,0,0,53,34,14,2,0,44,14,122,"Santa Rosa-Petaluma, CA Metro Area",102840,0.4574,485642,42220,42220,0.0845149307514589,0.027748835561998343,0.992630373814456,0.11801697546752546,0.3922601422446988
"Savannah, GA",42340,2024,270,182,87,1,0,0,0,130,58,43,0,0,64,206,0,"Savannah, GA Metro Area",74632,0.4597,412089,42340,42340,0.11988429683878968,0.02864915103290794,0.9727607385783168,0.1423891440926596,0.38490957050540053
"Sayre, PA",42380,2024,179,139,40,0,0,0,0,74,55,39,0,0,110,69,0,"Sayre, PA Micro Area",62482,0.4479,59971,42380,42380,0.1328642177052242,0.024795317736906172,0.9915792633106001,0.2984442480532257,0.4083140184422471
"Scottsbluff, NE",42420,2024,246,226,20,0,0,0,0,88,46,11,0,0,0,246,0,"Scottsbluff, NE Micro Area",61156,0.4428,36594,42420,42420,0.13507678854457014,0.016915341312783515,0.9823468328141225,0.15805869814723725,0.41949499918019345
"Scranton--Wilkes-Barre--Hazleton, PA",42540,2024,232,203,29,0,0,0,0,97,51,35,50,9,126,47,0,"Scranton--Wilkes-Barre, PA Metro Area",63656,0.4584,567887,42540,42540,0.14203001653497968,0.0263080507213583,0.9816759320076001,0.23267657121927426,0.40957443998541965
"Seattle-Tacoma-Bellevue, WA",42660,2024,214,128,78,3,2,1,2,354,65,46,1,1,107,105,0,"Seattle-Tacoma-Bellevue, WA Metro Area",112594,0.4644,4021467,42660,42660,0.08257484146954333,0.025430272087275614,0.9870231435443831,0.11093464151266193,0.39447047557520676
"Sebastian-Vero Beach, FL",42680,2024,235,234,1,0,0,0,0,51,44,35,0,0,235,0,0,"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",71049,0.5015,163856,42680,42680,0.11331290889561567,0.022055951567229764,0.9881176154672395,0.18320354457572502,0.41924616736646814
"Sebring, FL",42700,2024,181,151,30,0,0,0,0,77,58,41,0,0,181,0,0,"Sebring, FL Metro Area",55581,0.4601,103808,42700,42700,0.1514623150431566,0.021424167694204684,0.9869085234278668,0.2258881781750925,0.44257668002466094
"Sevierville, TN",42940,2024,244,179,65,0,0,0,0,93,64,45,0,0,244,0,0,"Sevierville, TN Micro Area",63829,0.4495,98802,42940,42940,0.13446084087366653,0.017074553146697435,0.9911337827169491,0.21326491366571526,0.3969656484686545
"Sheboygan, WI",43100,2024,98,85,10,3,0,0,0,133,58,42,0,0,98,0,0,"Sheboygan, WI Metro Area",71898,0.4111,117783,43100,43100,0.07866160651367345,0.012650382483040847,0.9803027601606343,0.20474092186478524,0.4196361104743469
"Shelton, WA",43220,2024,213,206,7,0,0,0,0,59,34,16,0,0,0,213,0,"Shelton, WA Micro Area",78359,0.4214,66968,43220,43220,0.12292438179428981,0.027505674351929278,0.9787361127702784,0.17488949946242982,0.37888245132003345
"Sheridan, WY",43260,2024,213,177,34,1,0,1,0,205,61,43,0,0,150,61,2,"Sheridan, WY Micro Area",70855,0.4425,31585,43260,43260,0.09536172233655216,0.013614057305683077,0.9886021845812886,0.17090391008390057,0.42789298717745766
"Show Low, AZ",43320,2024,274,274,0,0,0,0,0,45,19,11,0,0,0,6,268,"Show Low, AZ Micro Area",52752,0.4549,107744,43320,43320,0.24111783486783486,0.030785937035937037,0.9776043213543214,0.17251076626076625,0.3635562073062073
"Shreveport-Bossier City, LA",43340,2024,305,131,170,4,0,0,0,111,67,52,0,0,99,204,2,"Shreveport-Bossier City, LA Metro Area",54635,0.5082,389004,43340,43340,0.199005665751509,0.03222846037572878,0.9708486288058734,0.1787539459748486,0.39812187021213147
"Sierra Vista-Douglas, AZ",43420,2024,274,163,98,11,1,0,1,307,80,49,0,0,231,0,43,"Sierra Vista-Douglas, AZ Metro Area",58970,0.4454,125458,43420,43420,0.14781042261155128,0.027036936664062875,0.9363611726633615,0.14265331824196145,0.40233384877807715
"Sioux City, IA-NE-SD",43580,2024,264,215,49,0,0,0,0,84,57,43,0,0,219,45,0,"Sioux City, IA-NE-SD Metro Area",72027,0.4362,144007,43580,43580,0.12021637837049588,0.021832272042331277,0.9893269077197636,0.178623261369239,0.38141201469373015
"Sioux Falls, SD",43620,2024,183,162,21,0,0,0,0,81,52,33,1,7,125,48,2,"Sioux Falls, SD-MN Metro Area",81418,0.4389,293107,43620,43620,0.07931574476215171,0.011794327668735309,0.9858618183803185,0.14612752339589297,0.405135326007226
"Somerset, KY",43700,2024,182,147,35,0,0,0,0,68,55,42,0,0,85,97,0,"Somerset, KY Micro Area",50943,0.5135,65503,43700,43700,0.19855579133780132,0.022548585560966672,0.9860311741446957,0.19225073660748362,0.39570706685189994
"Somerset, PA",43740,2024,237,210,27,0,0,0,0,90,51,40,0,0,237,0,0,"Somerset, PA Micro Area",59378,0.4206,73255,43740,43740,0.10513958091597843,0.024899324278206268,0.9440584260460037,0.33585420790389736,0.39684663162924033
"Sonora, CA",43760,2024,178,160,17,1,0,0,0,101,51,38,0,0,178,0,0,"Sonora, CA Micro Area",72259,0.4436,54873,43760,43760,0.10108796675960854,0.03313104805642119,0.9542215661618647,0.15668908206221638,0.41566890820622165
"South Bend-Mishawaka, IN-MI",43780,2024,274,169,104,1,0,0,0,115,67,47,0,0,169,105,0,"South Bend-Mishawaka, IN-MI Metro Area",65385,0.4719,324180,43780,43780,0.13808686532173484,0.02474859645875748,0.9912055031155531,0.1673884878771053,0.39513233388858043
"Spartanburg, SC",43900,2024,271,141,126,4,0,0,0,112,71,49,0,0,134,137,0,"Spartanburg, SC Metro Area",62440,0.4559,365086,43900,43900,0.1476884898352717,0.02210164180494459,0.9874933577294117,0.17947552083618654,0.38441353544096457
